"","X","ID","achievement","social","immersion","pre.score","pos.score","dif.score","scenario"
"P01",1,"P01",2.28571428571429,"upper",2.8,6,8,2,"gamified"
"P02",2,"P02",3.28571428571429,"lower",2.2,8,10,2,"gamified"
"P03",3,"P03",3.14285714285714,"lower",3.4,7,8,1,"gamified"
"P04",4,"P04",3.57142857142857,"lower",3.8,7,9,2,"gamified"
"P05",5,"P05",3.42857142857143,"upper",3.8,7,9,2,"gamified"
"P06",6,"P06",2.57142857142857,"upper",2.4,8,10,2,"gamified"
"P07",7,"P07",3,"upper",2.4,8,9,1,"gamified"
"P08",8,"P08",3,"lower",3.2,5,7,2,"gamified"
"P09",9,"P09",3.71428571428571,"upper",3.4,8,10,2,"gamified"
"P10",10,"P10",2.14285714285714,"lower",2,7,10,3,"gamified"
"P11",11,"P11",4.85714285714286,"lower",3.8,7,10,3,"gamified"
"P12",12,"P12",3.42857142857143,"upper",2.4,6,9,3,"gamified"
"P13",13,"P13",4,"upper",3.4,6,9,3,"gamified"
"P14",14,"P14",3,"lower",3,8,9,1,"gamified"
"P15",15,"P15",3.85714285714286,"upper",4.2,7,7,0,"non.gamified"
"P16",16,"P16",2.85714285714286,"lower",2.6,8,7,-1,"non.gamified"
"P17",17,"P17",4.14285714285714,"upper",3.2,6,8,2,"gamified"
"P18",18,"P18",4.42857142857143,"upper",3.2,7,8,1,"non.gamified"
"P19",19,"P19",3.57142857142857,"lower",4,7,7,0,"non.gamified"
"P20",20,"P20",3.57142857142857,"lower",2.6,7,8,1,"non.gamified"
"P21",21,"P21",2.71428571428571,"lower",2.8,6,6,0,"non.gamified"
"P22",22,"P22",1.71428571428571,"lower",3.6,8,8,0,"non.gamified"
"P24",23,"P24",2.71428571428571,"upper",3.2,8,8,0,"non.gamified"
"P26",24,"P26",2.71428571428571,"lower",2.2,7,7,0,"non.gamified"
"P27",25,"P27",4,"upper",4.4,4,5,1,"non.gamified"
"P28",26,"P28",2.42857142857143,"upper",2,8,8,0,"non.gamified"
"P29",27,"P29",3.85714285714286,"upper",3.8,6,6,0,"non.gamified"
"P30",28,"P30",3.28571428571429,"lower",2.8,8,8,0,"non.gamified"
"P31",29,"P31",4.28571428571429,"upper",4.2,5,7,2,"non.gamified"
"P32",30,"P32",2.57142857142857,"lower",2.4,7,8,1,"gamified"
